Browser,screenH,OS,screenW,workerid
Chrome,768,Windows,1366,0
Chrome,720,Windows,1280,1
Chrome,768,Windows,1024,2
Chrome,900,Mac,1440,3
Chrome,864,Windows,1536,4
Chrome,1080,Windows,1920,5
Chrome,864,Windows,1536,6
Chrome,640,Linux,360,7
Chrome,768,Windows,1366,8
Chrome,800,Windows,1280,9
Chrome,768,Windows,1280,10
Chrome,768,Windows,1366,11
Chrome,768,Windows,1366,12
Chrome,768,Mac,1366,13
Chrome,768,Windows,1366,14
Chrome,1024,Windows,1280,15
Chrome,768,Windows,1366,16
Chrome,768,Windows,1366,17
Firefox,960,Windows,1708,18
Chrome,768,Windows,1366,19
Chrome,800,Windows,1280,20
Chrome,768,Windows,1366,21
Chrome,768,Mac,1366,22
Chrome,768,Windows,1366,23
Chrome,768,Windows,1366,24
Chrome,768,Windows,1366,25
Chrome,800,Windows,1280,26
Chrome,768,Windows,1366,27
Chrome,615,Windows,1093,28
Chrome,768,Windows,1360,29
Chrome,768,Windows,1366,30
Chrome,720,Windows,1152,31
Chrome,768,Windows,1360,32
Chrome,900,Mac,1440,33
Chrome,1050,Mac,1680,34
Chrome,534,Linux,320,35
Chrome,800,Windows,1280,36
Chrome,768,Linux,1366,37
Firefox,1050,Windows,1680,38
Chrome,1440,Windows,2560,39
Chrome,1080,Windows,1920,40
Chrome,768,Windows,1366,41
Firefox,688,Linux,360,42
Chrome,864,Windows,1536,43
Firefox,900,Mac,1440,44
Chrome,768,Windows,1366,45
Chrome,768,Windows,1366,46
Chrome,800,Windows,1280,47
Chrome,1024,Windows,1280,48
Chrome,1024,Windows,1280,49
Firefox,1080,Windows,1920,50
Chrome,768,Windows,1366,51
Chrome,846,Linux,412,52
Chrome,640,Linux,360,53
Chrome,768,Windows,1366,54
Chrome,768,Windows,1024,55
Chrome,768,Windows,1024,56
Firefox,893,Windows,1429,57
Chrome,640,Linux,360,58
Chrome,900,Windows,1600,59
Chrome,768,Windows,1366,60
Chrome,900,Windows,1600,61
Chrome,840,Windows,1344,62
Chrome,900,Mac,1440,63
Chrome,1080,Windows,1920,64
Chrome,900,Windows,1600,65
Chrome,768,Windows,1366,66
Chrome,864,Windows,1536,67
Chrome,864,Windows,1536,68
Chrome,720,Linux,360,69
Chrome,900,Mac,1440,70
Safari,568,iPhone/iPod,320,71
Chrome,768,Windows,1366,72
Chrome,1024,Windows,1280,73
Chrome,768,Windows,1366,74
Chrome,720,Windows,1280,75
Chrome,720,Windows,1280,76
Chrome,1080,Windows,1920,77
Chrome,768,Windows,1366,78
Chrome,768,Windows,1366,79
Chrome,900,Windows,1600,80
Chrome,768,Windows,1360,81
Chrome,1080,Windows,1920,82
Chrome,800,Windows,1280,83
Firefox,1080,Windows,1920,84
Chrome,720,Linux,360,85
Chrome,768,Windows,1360,86
Chrome,900,Windows,1600,87
Chrome,900,Mac,1440,88
Firefox,720,Windows,1280,89
Chrome,1024,Windows,1280,90
Chrome,768,Windows,1366,91
Chrome,1024,Windows,1280,92
Chrome,912,Windows,1368,93
Chrome,1024,Windows,1280,94
Mozilla,864,Windows,1536,95
Chrome,864,Windows,1536,96
Firefox,1080,Windows,2560,97
Chrome,768,Windows,1366,98
Chrome,864,Windows,1536,99
Chrome,768,Windows,1366,100
Chrome,820,Windows,1024,101
Chrome,864,Windows,1536,102
Safari,800,Mac,1280,103
Chrome,1080,Windows,1920,104
Chrome,900,Windows,1600,105
Chrome,768,Windows,1366,106
Chrome,864,Windows,1536,107
Chrome,1080,Windows,1920,108
Chrome,900,Windows,1600,109
Chrome,800,Mac,1280,110
Chrome,1080,Windows,2560,111
Chrome,960,Windows,1536,112
Chrome,768,Linux,1366,113
Chrome,768,Windows,1366,114
Safari,736,iPhone/iPod,414,115
Safari,1024,an unknown OS,768,116
Chrome,768,Windows,1366,117
Chrome,800,Windows,1280,118
Chrome,720,Windows,1280,119
Chrome,1024,Windows,1280,120
Chrome,768,Windows,1366,121
Chrome,768,Windows,1366,122
Chrome,768,Linux,1366,123
Chrome,1024,Windows,1280,124
Safari,1440,Mac,2560,125
Chrome,768,Windows,1366,126
Chrome,1050,Mac,1680,127
Chrome,768,Windows,1366,128
Chrome,768,Windows,1366,129
Chrome,1080,Windows,1920,130
Chrome,864,Windows,1536,131
Chrome,900,Mac,1440,132
Chrome,864,Linux,1536,133
Chrome,768,Windows,1366,134
Chrome,768,Windows,1366,135
Chrome,720,Windows,1280,136
Chrome,768,Windows,1366,137
Chrome,1024,Windows,1280,138
Chrome,768,Windows,1366,139
Chrome,768,Windows,1366,140
Chrome,1080,Windows,1920,141
Chrome,1050,Mac,1680,142
Chrome,768,Windows,1366,143
Chrome,768,Windows,1024,144
Chrome,768,Windows,1360,145
Firefox,1080,Windows,1920,146
Chrome,768,Windows,1366,147
Chrome,800,Mac,1280,148
Chrome,768,Mac,1366,149
Chrome,768,Windows,1366,150
Chrome,900,Windows,1600,151
Chrome,900,Mac,1440,152
Firefox,768,Windows,1366,153
Chrome,768,Windows,1366,154
Chrome,900,Mac,1440,155
Chrome,1200,Mac,1920,156
Chrome,864,Windows,1536,157
Chrome,854,Windows,1280,158
Chrome,768,Windows,1366,159
Chrome,800,Windows,1280,160
Chrome,768,Windows,1024,161
Chrome,768,Windows,1366,162
Chrome,768,Windows,1366,163
Chrome,800,Windows,1280,164
Chrome,900,Windows,1440,165
Chrome,768,Windows,1366,166
Safari,1080,Mac,1920,167
Safari,900,Mac,1440,168
Chrome,1080,Windows,1920,169
Chrome,1080,Windows,1920,170
Chrome,1024,Windows,1280,171
Chrome,731,Linux,1300,172
Chrome,1050,Windows,1680,173
Chrome,900,Mac,1440,174
Chrome,1080,Windows,1920,175
Safari,900,Mac,1440,176
Chrome,615,Windows,1092,177
Chrome,1080,Windows,1920,178
Chrome,1050,Mac,1680,179
